time,date,itemid,price,discount,price_before_discount,stock,sold,item_status,cmt_count,liked_count
1668917270,20221120,21863325818,3088000,66%,9100000,3905,0,normal,0,4
1668939535,20221120,21863325818,3088000,66%,9100000,3905,0,normal,0,5
1668942843,20221120,21863325818,3088000,66%,9100000,3905,0,normal,0,6
1668947530,20221120,21863325818,3088000,66%,9100000,3903,0,normal,0,9
1668950802,20221120,21863325818,3088000,66%,9100000,3902,0,normal,0,10
1668969785,20221120,21863325818,3088000,66%,9100000,3900,0,normal,0,10
1668978907,20221120,21863325818,3088000,66%,9100000,3899,0,normal,0,10
1668980254,20221120,21863325818,3088000,66%,9100000,3899,0,normal,0,11
1668986338,20221120,21863325818,3088000,66%,9100000,3899,0,normal,0,12
1668994903,20221121,21863325818,3088000,66%,9100000,3898,0,normal,0,13
1669003277,20221121,21863325818,3088000,66%,9100000,3886,0,normal,0,13
1669016262,20221121,21863325818,3088000,66%,9100000,3886,0,normal,0,14
1669022326,20221121,21863325818,3088000,66%,9100000,3886,0,offensive_hide,0,14
1669350518,20221125,21863325818,3076000,66%,9100000,4262,0,normal,0,196
1669357611,20221125,21863325818,3076000,66%,9100000,4262,0,normal,0,197
1669365862,20221125,21863325818,3076000,66%,9100000,4262,0,normal,0,198
1669371781,20221125,21863325818,3076000,66%,9100000,4262,0,normal,0,200
1669372935,20221125,21863325818,3076000,66%,9100000,4263,0,normal,0,200
1669375073,20221125,21863325818,3076000,66%,9100000,4263,0,normal,0,201
1669380027,20221125,21863325818,3076000,66%,9100000,4251,0,normal,0,203
1669382978,20221125,21863325818,3076000,66%,9100000,4250,0,normal,0,206
1669385928,20221125,21863325818,3076000,66%,9100000,4249,0,normal,0,206
1669389690,20221125,21863325818,3076000,66%,9100000,4249,0,normal,0,207
1669390868,20221125,21863325818,3076000,66%,9100000,4249,0,normal,0,208
1669393746,20221125,21863325818,3076000,66%,9100000,4248,0,normal,0,211
1669395166,20221125,21863325818,3076000,66%,9100000,4248,0,normal,0,212
1669396724,20221125,21863325818,3076000,66%,9100000,4246,0,normal,0,212
1669397951,20221125,21863325818,3076000,66%,9100000,4245,0,normal,0,213
1669400757,20221125,21863325818,3076000,66%,9100000,4245,0,normal,0,214
1669401861,20221125,21863325818,3076000,66%,9100000,4244,0,normal,0,215
1669403773,20221125,21863325818,3076000,66%,9100000,4244,0,normal,0,216
1669405089,20221125,21863325818,3076000,66%,9100000,4242,0,normal,0,218
1669407701,20221125,21863325818,3076000,66%,9100000,4242,0,normal,0,219
1669411111,20221125,21863325818,3076000,66%,9100000,4242,0,normal,0,220
1669412320,20221125,21863325818,3076000,66%,9100000,4242,0,normal,0,222
1669414786,20221125,21863325818,3076000,66%,9100000,4243,0,normal,0,224
1669418453,20221125,21863325818,3076000,66%,9100000,4243,0,normal,0,226
1669419600,20221125,21863325818,3076000,66%,9100000,4242,0,normal,0,226
1669427079,20221126,21863325818,3076000,66%,9100000,4240,0,normal,0,232
1669431170,20221126,21863325818,3076000,66%,9100000,4236,0,normal,0,233
1669436724,20221126,21863325818,3076000,66%,9100000,4236,0,normal,0,234
1669451142,20221126,21863325818,3076000,66%,9100000,4236,0,normal,0,235
1669452180,20221126,21863325818,3076000,66%,9100000,4236,0,normal,0,236
1669458046,20221126,21863325818,3076000,66%,9100000,4236,0,normal,0,239
1669461391,20221126,21863325818,3076000,66%,9100000,4236,0,normal,0,242
1669462691,20221126,21863325818,3076000,66%,9100000,4234,0,normal,0,243
1669466195,20221126,21863325818,3076000,66%,9100000,4232,0,normal,0,244
1669469126,20221126,21863325818,3076000,66%,9100000,4232,0,normal,0,245
