time,date,itemid,price,discount,price_before_discount,stock,sold,item_status,cmt_count,liked_count
1669350520,20221125,16448275779,7320000,37%,11684000,2280,54,offensive_hide,89,859
1669368021,20221125,16448275779,7320000,37%,11684000,2230,54,offensive_hide,89,859
1669403775,20221125,16448275779,7320000,37%,11684000,2230,56,offensive_hide,89,859
1669427081,20221126,16448275779,7320000,37%,11684000,2230,56,offensive_hide,89,859
1669491505,20221126,16448275779,7320000,37%,11684000,2230,58,offensive_hide,89,859
1669494052,20221126,16448275779,7320000,37%,11684000,2230,58,offensive_hide,89,860
1669514088,20221127,16448275779,7320000,37%,11684000,2230,58,offensive_hide,89,860
1669580450,20221127,16448275779,7320000,37%,11684000,2230,54,offensive_hide,89,860
1669583862,20221127,16448275779,7320000,37%,11684000,2230,54,offensive_hide,89,861
1669600057,20221128,16448275779,7320000,37%,11684000,2230,54,offensive_hide,89,861
1669666861,20221128,16448275779,7320000,37%,11684000,2230,53,offensive_hide,89,861
1669686428,20221129,16448275779,7320000,37%,11684000,2230,53,offensive_hide,89,862
1669750706,20221129,16448275779,7320000,37%,11684000,2230,51,offensive_hide,89,862
1669756713,20221129,16448275779,7320000,37%,11684000,2230,51,offensive_hide,90,862
1669772906,20221130,16448275779,7320000,37%,11684000,2230,51,offensive_hide,90,862
1669819227,20221130,16448275779,7320000,37%,11684000,2230,51,normal,90,862
1669828782,20221130,16448275779,7320000,37%,11684000,2230,51,normal,90,863
1669835827,20221130,16448275779,7320000,37%,11684000,2230,52,normal,90,863
1669860054,20221201,16448275779,7320000,37%,11684000,2230,52,normal,90,863
1669865105,20221201,16448275779,7120000,39%,11684000,2230,52,normal,90,863
1669904377,20221201,16448275779,7120000,39%,11684000,2230,52,normal,90,864
1669923544,20221201,16448275779,7120000,39%,11684000,2230,47,normal,90,864
1669945223,20221202,16448275779,7120000,39%,11684000,2230,47,normal,90,864
1670009895,20221202,16448275779,7120000,39%,11684000,2230,48,normal,90,864
1670023190,20221202,16448275779,7120000,39%,11684000,2230,48,normal,90,865
1670031360,20221203,16448275779,7120000,39%,11684000,2230,48,normal,90,865
1670066113,20221203,16448275779,7120000,39%,11684000,2229,48,normal,90,865
1670084782,20221203,16448275779,7120000,39%,11684000,2228,48,normal,90,865
1670086031,20221203,16448275779,7120000,39%,11684000,2228,48,normal,90,866
1670118133,20221204,16448275779,7120000,39%,11684000,2227,48,normal,90,866
1670124067,20221204,16448275779,7120000,39%,11684000,2226,48,normal,90,866
1670152516,20221204,16448275779,7120000,39%,11684000,2227,48,normal,90,866
1670161087,20221204,16448275779,7120000,39%,11684000,2227,48,normal,90,867
1670167133,20221204,16448275779,7120000,39%,11684000,2226,48,normal,90,867
1670175513,20221204,16448275779,7120000,39%,11684000,2226,48,normal,90,868
1670181315,20221204,16448275779,7120000,39%,11684000,2226,48,normal,90,869
1670182700,20221204,16448275779,7120000,39%,11684000,2226,46,normal,90,869
1670204479,20221205,16448275779,7120000,39%,11684000,2226,46,normal,90,869
1670243910,20221205,16448275779,7120000,39%,11684000,2226,46,normal,90,870
1670253670,20221205,16448275779,7120000,39%,11684000,2227,46,normal,90,870
1670264678,20221205,16448275779,7120000,39%,11684000,2227,46,normal,90,871
1670271656,20221205,16448275779,7120000,39%,11684000,2227,43,normal,90,871
1670275055,20221205,16448275779,7120000,39%,11684000,2226,43,normal,90,871
1670290769,20221206,16448275779,7120000,39%,11684000,2226,43,normal,90,872
1670351105,20221206,16448275779,7120000,39%,11684000,2226,43,normal,90,873
1670354155,20221206,16448275779,7120000,39%,11684000,2226,42,normal,90,873
1670377508,20221207,16448275779,7120000,39%,11684000,2226,42,normal,90,874
1670381566,20221207,16448275779,7120000,39%,11684000,2226,42,normal,90,875
1670401542,20221207,16448275779,7120000,39%,11684000,2201,42,normal,90,875
