time,date,itemid,price,discount,price_before_discount,stock,sold,item_status,cmt_count,liked_count
1668825383,20221119,18253506491,4500000,76%,18482000,17984,0,normal,0,86
1668853113,20221119,18253506491,4500000,76%,18482000,17984,0,normal,0,87
1668901161,20221119,18253506491,4500000,76%,18482000,17984,0,normal,0,88
1668908697,20221120,18253506491,4500000,76%,18482000,17984,0,normal,0,88
1668947528,20221120,18253506491,4500000,76%,18482000,17984,0,normal,0,89
1668994901,20221121,18253506491,4500000,76%,18482000,17983,0,normal,0,89
1669000627,20221121,18253506491,4500000,76%,18482000,17983,0,normal,0,90
1669350516,20221125,18253506491,4500000,76%,18482000,17986,0,normal,0,96
1669418451,20221125,18253506491,4500000,76%,18482000,17985,0,normal,0,96
1669427078,20221126,18253506491,4500000,76%,18482000,17985,0,normal,0,96
1669455527,20221126,18253506491,4500000,76%,18482000,17984,0,normal,0,95
1669480075,20221126,18253506491,4500000,76%,18482000,17984,0,normal,0,96
1669494049,20221126,18253506491,4500000,76%,18482000,17984,0,normal,0,97
1669504823,20221126,18253506491,4500000,76%,18482000,17985,0,normal,0,97
1669514084,20221127,18253506491,4500000,76%,18482000,17985,0,normal,0,97
1669563603,20221127,18253506491,4500000,76%,18482000,17984,0,normal,0,97
1669566489,20221127,18253506491,4500000,76%,18482000,17983,0,normal,0,97
1669573467,20221127,18253506491,4500000,76%,18482000,17983,0,normal,0,98
1669600052,20221128,18253506491,4500000,76%,18482000,17983,0,normal,0,98
1669642263,20221128,18253506491,4500000,76%,18482000,17982,0,normal,0,98
1669649892,20221128,18253506491,4500000,76%,18482000,17983,0,normal,0,98
1669652695,20221128,18253506491,4500000,76%,18482000,17984,0,normal,0,98
1669653859,20221128,18253506491,4500000,76%,18482000,17983,0,normal,0,98
1669686424,20221129,18253506491,4500000,76%,18482000,17983,0,normal,0,98
1669725619,20221129,18253506491,4500000,76%,18482000,17982,0,normal,0,98
1669736534,20221129,18253506491,4500000,76%,18482000,17982,0,normal,0,99
1669750702,20221129,18253506491,4500000,76%,18482000,17982,0,normal,0,100
1669772902,20221130,18253506491,4500000,76%,18482000,17982,0,normal,0,101
1669778935,20221130,18253506491,4500000,76%,18482000,17982,0,normal,0,102
1669812162,20221130,18253506491,4500000,76%,18482000,17983,0,normal,0,102
1669832793,20221130,18253506491,4500000,76%,18482000,17982,0,normal,0,102
1669843134,20221130,18253506491,4500000,76%,18482000,17982,0,normal,0,103
1669860049,20221201,18253506491,4500000,76%,18482000,17981,0,normal,0,104
1669865101,20221201,18253506491,4500000,76%,18482000,17981,0,normal,1,104
1669922223,20221201,18253506491,4500000,76%,18482000,17981,2,normal,1,104
1669945218,20221202,18253506491,4500000,76%,18482000,17981,2,normal,1,104
1669949474,20221202,18253506491,4500000,76%,18482000,17981,2,normal,1,105
1670017116,20221202,18253506491,4500000,76%,18482000,17981,2,normal,1,106
1670031356,20221203,18253506491,4500000,76%,18482000,17981,2,normal,1,106
1670094877,20221203,18253506491,4500000,76%,18482000,17981,3,normal,1,106
1670096284,20221203,18253506491,4500000,76%,18482000,17978,3,normal,1,106
1670118129,20221204,18253506491,4500000,76%,18482000,17978,3,normal,1,106
1670181310,20221204,18253506491,4500000,76%,18482000,17978,3,normal,1,107
1670189930,20221204,18253506491,4500000,76%,18482000,17977,3,normal,1,107
1670192279,20221204,18253506491,4500000,76%,18482000,17976,3,normal,1,108
1670204475,20221205,18253506491,4500000,76%,18482000,17976,3,normal,1,108
1670236860,20221205,18253506491,4500000,76%,18482000,17976,3,normal,1,109
1670246801,20221205,18253506491,4500000,76%,18482000,17976,3,normal,1,110
1670271651,20221205,18253506491,4500000,76%,18482000,17976,3,normal,1,111
1670290765,20221206,18253506491,4500000,76%,18482000,17976,3,normal,1,111
1670325387,20221206,18253506491,4500000,76%,18482000,17975,3,normal,1,111
1670355505,20221206,18253506491,4500000,76%,18482000,17972,3,normal,1,111
1670368865,20221206,18253506491,4500000,76%,18482000,17975,3,normal,1,111
1670377499,20221207,18253506491,4500000,76%,18482000,17975,3,normal,1,111
1670422683,20221207,18253506491,4500000,76%,18482000,17975,3,normal,1,112
1670447881,20221207,18253506491,4500000,76%,18482000,17975,3,normal,1,113
1670463634,20221208,18253506491,4500000,76%,18482000,17975,3,normal,1,113
1670467677,20221208,18253506491,4500000,76%,18482000,17974,3,normal,1,113
1670503068,20221208,18253506491,4500000,76%,18482000,17973,3,normal,1,113
1670526943,20221208,18253506491,4500000,76%,18482000,17973,4,normal,1,113
1670550252,20221209,18253506491,4500000,76%,18482000,17973,4,normal,1,113
1670584604,20221209,18253506491,4500000,76%,18482000,17473,4,normal,1,113
1670613318,20221209,18253506491,4500000,76%,18482000,17473,6,normal,1,113
1670636250,20221210,18253506491,4500000,76%,18482000,17473,6,normal,1,113
1670692619,20221210,18253506491,4500000,76%,18482000,17473,6,normal,1,114
1670723302,20221211,18253506491,4500000,76%,18482000,17473,6,normal,1,115
1670787489,20221211,18253506491,4500000,76%,18482000,17473,8,normal,1,115
1670809450,20221212,18253506491,4500000,76%,18482000,17473,8,normal,1,115
1670815502,20221212,18253506491,4500000,76%,18482000,9493,8,normal,1,115
1670837942,20221212,18253506491,4495000,76%,18482000,9480,8,normal,1,115
1670862577,20221212,18253506491,4495000,76%,18482000,9480,8,normal,1,116
1670896004,20221213,18253506491,4495000,76%,18482000,9480,8,normal,1,117
1670902070,20221213,18253506491,3699000,80%,18482000,17973,8,normal,1,117
1670945111,20221213,18253506491,3699000,80%,18482000,17972,8,normal,1,117
1670946147,20221213,18253506491,3699000,80%,18482000,17972,8,normal,1,118
1670960293,20221213,18253506491,3699000,80%,18482000,17972,9,normal,1,118
1670982175,20221214,18253506491,3699000,80%,18482000,17972,9,normal,1,118
1671009566,20221214,18253506491,3699000,80%,18482000,17971,9,normal,1,118
1671068718,20221215,18253506491,3699000,80%,18482000,17971,9,normal,1,118
1671121748,20221215,18253506491,3699000,80%,18482000,17971,9,normal,1,119
1671154465,20221216,18253506491,3699000,80%,18482000,17971,9,normal,1,119
1671240879,20221217,18253506491,3699000,80%,18482000,17971,9,normal,1,119
1671316703,20221217,18253506491,3699000,80%,18482000,17971,9,normal,2,119
1671327368,20221218,18253506491,3699000,80%,18482000,17971,9,normal,2,119
1671394720,20221218,18253506491,3699000,80%,18482000,17971,9,normal,2,120
