time,date,itemid,price,discount,price_before_discount,stock,sold,item_status,cmt_count,liked_count
1668769973,20221118,19756333237,24000000,51%,49244000,136372,9,normal,10,510
1668771423,20221118,19756333237,24000000,51%,49244000,136372,9,normal,10,511
1668778548,20221118,19756333237,24000000,51%,49244000,136370,9,normal,10,511
1668781066,20221118,19756333237,24000000,51%,49244000,136370,9,normal,10,513
1668782409,20221118,19756333237,24000000,51%,49244000,136368,9,normal,10,514
1668786093,20221118,19756333237,24000000,51%,49244000,136368,9,normal,10,515
1668788713,20221118,19756333237,24000000,51%,49244000,136367,9,normal,10,517
1668791836,20221118,19756333237,24000000,51%,49244000,136369,9,normal,10,517
1668795843,20221118,19756333237,24000000,51%,49244000,136368,9,normal,10,519
1668797182,20221118,19756333237,24000000,51%,49244000,136368,9,normal,11,519
1668800240,20221118,19756333237,24000000,51%,49244000,136368,11,normal,11,519
1668806162,20221118,19756333237,24000000,51%,49244000,136367,11,normal,11,520
1668807491,20221118,19756333237,24000000,51%,49244000,136367,11,normal,11,521
1668809864,20221118,19756333237,24000000,51%,49244000,136367,11,normal,11,522
1668811290,20221118,19756333237,24000000,51%,49244000,136367,11,normal,11,523
1668814792,20221118,19756333237,24000000,51%,49244000,136367,11,normal,11,524
1668822002,20221119,19756333237,24000000,51%,49244000,136367,11,normal,11,531
1668825378,20221119,19756333237,24000000,51%,49244000,136365,11,normal,11,533
1668847877,20221119,19756333237,24000000,51%,49244000,136364,11,normal,11,533
1668850711,20221119,19756333237,24000000,51%,49244000,136364,11,normal,11,534
1668853109,20221119,19756333237,24000000,51%,49244000,136363,11,normal,11,535
1668857817,20221119,19756333237,24000000,51%,49244000,136363,11,normal,11,536
